ダウンロードした時刻：2018/05/27 17:37:20

,一関,一関,一関
年月日,平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号
2011/7/25,24.3,8,1
2011/7/26,24.7,8,1
2011/7/27,24.1,8,1
2011/7/28,24.6,8,1
2011/7/29,24.4,8,1
2011/7/30,23.1,8,1
2011/7/31,21.2,8,1
2011/8/1,20.4,8,1
2011/8/2,20.5,8,1
2011/8/3,23.4,8,1
2011/8/4,24.9,8,1
2011/8/5,25.8,8,1
2011/8/6,27.8,8,1
2011/8/7,27.6,8,1
2011/8/8,27.0,8,1
2011/8/9,27.5,8,1
2011/8/10,28.4,8,1
2011/8/11,28.7,8,1
2011/8/12,26.9,8,1
2011/8/13,26.6,8,1
2011/8/14,27.7,8,1
2011/8/15,27.7,8,1
2011/8/16,27.2,8,1
2011/8/17,27.8,8,1
2011/8/18,24.6,8,1
2011/8/19,22.0,8,1
2011/8/20,22.5,8,1
2011/8/21,20.2,8,1
2011/8/22,19.1,8,1
2011/8/23,21.3,8,1
2011/8/24,23.4,8,1
2011/8/25,23.7,8,1
2011/8/26,23.4,8,1
2011/8/27,23.2,8,1
2011/8/28,23.0,8,1
2011/8/29,22.7,8,1
2011/8/30,23.2,8,1
2011/8/31,23.7,8,1
2011/9/1,25.0,8,1
2011/9/2,26.0,8,1
2011/9/3,26.0,8,1
2011/9/4,25.9,8,1
2011/9/5,24.8,8,1
2011/9/6,21.9,8,1
2011/9/7,21.8,8,1
2011/9/8,22.5,8,1
2011/9/9,24.2,8,1
2011/9/10,22.6,8,1
2011/9/11,21.7,8,1
2011/9/12,23.9,8,1
2011/9/13,24.5,8,1
2011/9/14,23.1,8,1
2011/9/15,24.0,8,1
2011/9/16,25.4,8,1
2011/9/17,25.0,8,1
2011/9/18,26.3,8,1
2011/9/19,18.7,8,1
2011/9/20,14.6,8,1
2011/9/21,15.0,8,1
2011/9/22,17.9,8,1
2011/9/23,17.0,8,1
2011/9/24,15.5,8,1
2011/9/25,15.0,8,1
2011/9/26,16.4,8,1
2011/9/27,17.6,8,1
2011/9/28,16.3,8,1
2011/9/29,17.2,8,1
2011/9/30,18.4,8,1
2011/10/1,15.2,8,1
2011/10/2,12.0,8,1
2011/10/3,12.4,8,1
2011/10/4,12.2,8,1
2011/10/5,13.4,8,1
2011/10/6,15.4,8,1
